日付,借方科目,借方金額,貸方科目,貸方金額,摘要
2024-04-01,普通預金,3000000,資本金,3000000,起業時の出資金
2024-04-02,備品,150000,普通預金,150000,業務用のPCを購入
2024-04-05,仕入,500000,買掛金,500000,商品の仕入
2024-04-10,旅費交通費,12000,現金,12000,取引先への交通費
2024-04-15,売掛金,800000,売上,800000,商品の販売
2024-04-18,消耗品費,3500,現金,3500,コピー用紙とペン
2024-04-20,水道光熱費,25000,普通預金,25000,4月分電気代・水道代
2024-04-22,通信費,11000,普通預金,11000,インターネットとスマホ代
2024-04-25,普通預金,800000,売掛金,800000,商品の代金回収
2024-04-25,給料,300000,普通預金,300000,従業員給与
2024-04-30,買掛金,500000,普通預金,500000,買掛金の支払い
2024-04-30,支払家賃,100000,普通預金,100000,5月分オフィス家賃
2024-05-01,現金,50000,普通預金,50000,手元現金として引き出し
2024-05-02,受取利息,500,売上,0,預金利息（※この行はエラー用ではなく正常な別の仕訳にしましょう）
2024-05-02,普通預金,500,受取利息,500,普通預金の利息
